brand,model,year,mileage,fuel,gearbox,vehicle_condition,car_body,horsepower,engine_size,number_of_owners,accident_history,import_or_local,location,color,air_conditioning,parking_sensor,rear_camera,sunroof,alloy_wheels,bluetooth,gps,price
Fiat,Punto,2006,411796,Diesel,Manuelle,tres bon etat,compacte,97,1.4,1,0,local,Ben Arous,beige,0,0,0,0,1,1,0,2000
Mercedes,C180,2023,28909,Essence,Manuelle,bon etat,citadine,95,1.3,2,0,imported,Ariana,rouge,1,0,1,0,1,0,0,58772
Hyundai,Elantra,2024,14417,Diesel,Automatique,tres bon etat,compacte,112,1.6,1,0,local,Kairouan,rouge,1,0,0,0,0,0,0,25436
Chery,Tiggo,2011,100293,Diesel,Manuelle,moyen,citadine,72,0.9,3,1,local,Sousse,rouge,0,0,0,1,1,0,0,2694
Kia,Picanto,2013,172783,Diesel,Manuelle,tres bon etat,compacte,119,1.7,1,0,local,Ariana,rouge,0,1,0,1,1,0,1,3753
Chery,Arrizo,2010,331782,Essence,Automatique,excellent,monospace,108,1.1,2,0,local,Ben Arous,blanc,0,0,1,0,1,0,1,2000
Peugeot,208,2017,163116,Diesel,Manuelle,tres bon etat,monospace,156,2.0,2,0,local,Bizerte,blanc,0,1,1,1,1,1,1,10879
Kia,Picanto,2017,173507,Diesel,Automatique,tres bon etat,citadine,93,1.2,2,0,local,Gafsa,gris,1,1,1,0,1,0,0,6226
Ford,Focus,2015,149674,Essence,Manuelle,moyen,citadine,72,1.0,1,0,local,Ariana,argent,0,0,0,0,0,1,0,3128
Kia,Sportage,2022,71361,Diesel,Automatique,tres bon etat,break,126,1.4,1,0,local,Ariana,gris,0,0,0,0,0,0,0,18875
Toyota,Hiace,2013,303777,Essence,Automatique,tres bon etat,SUV,192,2.4,1,0,local,Ariana,rouge,1,0,0,0,0,1,0,2000
Toyota,Corolla,2016,136683,Essence,Manuelle,bon etat,compacte,106,1.5,2,0,local,Gabes,bleu,0,0,0,1,1,1,0,8374
BMW,118i,2022,26576,Essence,Automatique,tres bon etat,berline,173,1.8,1,0,local,Ben Arous,bleu,0,0,0,0,0,1,0,55703
Chery,Arrizo,2016,165884,Diesel,Automatique,tres bon etat,citadine,95,1.7,2,0,imported,Ben Arous,gris,0,0,0,1,0,0,1,4435
Fiat,Punto,2018,91717,Essence,Manuelle,bon etat,berline,179,2.2,1,0,local,Kairouan,noir,1,0,1,0,1,0,0,7517
Opel,Insignia,2023,39532,Essence,Manuelle,tres bon etat,break,114,1.3,1,0,local,Kairouan,argent,1,0,0,0,1,0,0,19207
Audi,Q3,2014,71009,Essence,Automatique,tres bon etat,berline,156,2.0,2,0,local,Sfax,rouge,0,0,1,0,0,0,0,22289
Chery,Arrizo,2009,406655,Diesel,Manuelle,bon etat,break,139,1.6,2,0,imported,Bizerte,vert,0,0,0,0,1,1,1,2000
Toyota,Rav4,2008,270148,Essence,Manuelle,moyen,berline,144,1.8,3,0,imported,Bizerte,bleu,0,1,1,1,1,1,0,2000
Nissan,Qashqai,2023,16443,Essence,Manuelle,bon etat,monospace,124,1.5,3,0,imported,Sfax,rouge,0,0,0,1,0,0,1,23807
Chery,Arrizo,2013,236221,Essence,Automatique,tres bon etat,berline,160,2.0,2,0,imported,Ariana,gris,0,1,1,0,1,0,1,2000
Peugeot,206,2021,81207,Essence,Manuelle,moyen,citadine,92,1.2,2,1,local,Gafsa,argent,0,1,0,1,0,0,1,10435
Opel,Astra,2008,322561,Essence,Manuelle,bon etat,citadine,61,0.9,1,0,local,Ariana,gris,0,1,0,1,1,0,0,2000
Chery,Arrizo,2018,82763,Essence,Manuelle,moyen,SUV,209,2.6,2,0,imported,Gabes,bleu,1,1,0,1,1,1,0,8841
Nissan,X-Trail,2017,63659,Diesel,Automatique,tres bon etat,break,128,2.0,1,0,local,Sousse,beige,1,0,0,0,0,1,0,11363
Nissan,Qashqai,2018,78191,Diesel,Automatique,tres bon etat,break,146,1.8,3,0,local,Ariana,rouge,0,0,0,1,0,0,1,13006
Nissan,Micra,2015,136371,Diesel,Manuelle,tres bon etat,break,150,1.6,1,0,imported,Sousse,argent,0,0,0,1,0,0,0,5503
Opel,Insignia,2015,150746,Essence,Manuelle,tres bon etat,berline,129,1.5,4,0,local,Bizerte,blanc,0,0,1,0,1,0,0,4672
Suzuki,Celerio,2005,569842,Essence,Automatique,a reparer,citadine,77,0.9,1,0,local,Gafsa,vert,0,0,0,0,1,0,0,2000
Mitsubishi,Lancer,2011,196480,Diesel,Manuelle,tres bon etat,SUV,202,2.3,1,0,local,Kairouan,argent,1,1,0,0,0,1,0,2000
Mitsubishi,Lancer,2007,220432,Essence,Manuelle,tres bon etat,monospace,132,1.7,2,0,local,Bizerte,gris,1,1,1,1,1,1,0,2000
Nissan,Micra,2007,184899,Hybride,Manuelle,moyen,break,109,1.0,3,0,local,Tunis,noir,0,0,0,0,0,1,0,2000
Ford,Focus,2017,46354,Diesel,Manuelle,tres bon etat,berline,133,1.6,1,0,imported,Nabeul,bleu,1,0,0,0,0,1,1,10069
Opel,Astra,2018,87748,Diesel,Automatique,tres bon etat,citadine,63,1.0,3,0,local,Kairouan,blanc,1,0,0,0,0,1,0,9514
Audi,A4,2008,174782,Diesel,Automatique,bon etat,citadine,86,0.9,2,0,local,Ariana,blanc,1,0,1,0,0,0,0,7048
Hyundai,i20,2007,201417,Essence,Automatique,bon etat,compacte,120,1.5,3,0,local,Ben Arous,bleu,1,1,0,1,0,0,0,2000
Toyota,Rav4,2016,148398,Diesel,Automatique,excellent,compacte,101,1.2,2,0,local,Sfax,blanc,0,1,0,0,1,0,1,10924
BMW,X1,2021,51591,Diesel,Automatique,tres bon etat,monospace,136,1.9,4,0,imported,Gafsa,argent,1,0,0,1,1,1,1,48182
Kia,Sportage,2020,76043,Diesel,Manuelle,tres bon etat,break,117,1.5,2,0,local,Nabeul,vert,1,1,0,1,1,0,0,15181
Audi,A3,2023,41058,Essence,Manuelle,moyen,SUV,178,2.2,3,0,imported,Nabeul,beige,0,1,0,0,0,0,0,44028
Hyundai,Tucson,2019,129556,Essence,Manuelle,bon etat,break,143,1.6,2,0,local,Kairouan,beige,0,1,1,0,0,1,0,11400
Nissan,Qashqai,2005,297912,Diesel,Manuelle,tres bon etat,compacte,97,1.4,2,1,local,Sfax,rouge,0,1,0,0,1,1,1,2000
Nissan,Micra,2021,24681,Diesel,Manuelle,bon etat,berline,114,1.1,2,0,imported,Nabeul,gris,0,0,1,1,0,0,1,15794
Mitsubishi,Lancer,2024,13555,Essence,Manuelle,tres bon etat,break,136,1.9,3,0,local,Ben Arous,blanc,1,0,1,0,1,1,1,23608
Chery,Tiggo,2016,104866,Essence,Automatique,bon etat,compacte,110,1.3,1,1,local,Gabes,beige,1,1,1,0,0,0,0,5480
Peugeot,206,2015,60289,Essence,Manuelle,tres bon etat,monospace,116,1.5,1,0,local,Gabes,bleu,0,0,0,0,1,0,0,8279
Ford,Kuga,2023,35706,Essence,Manuelle,tres bon etat,berline,114,1.6,2,0,imported,Sfax,argent,0,0,1,0,0,1,0,20547
Mercedes,C180,2017,121507,Diesel,Automatique,bon etat,compacte,124,1.7,1,1,imported,Gabes,rouge,1,1,1,1,1,1,1,28170
Chery,Arrizo,2019,133538,Hybride,Automatique,tres bon etat,berline,116,1.6,3,1,imported,Tunis,gris,0,1,0,1,0,1,0,7382
Fiat,Punto,2011,235218,Hybride,Manuelle,bon etat,compacte,86,1.2,4,0,local,Gabes,noir,0,1,0,1,0,1,0,2000
Peugeot,308,2024,21347,Essence,Manuelle,tres bon etat,citadine,89,0.9,2,0,imported,Gabes,noir,0,1,1,0,1,1,0,25985
Volkswagen,Golf 7,2018,175222,Essence,Manuelle,bon etat,compacte,96,1.2,2,0,imported,Gafsa,rouge,0,0,1,0,0,0,1,9967
Volkswagen,Golf 5,2019,125338,Essence,Automatique,bon etat,break,126,1.8,3,1,imported,Kairouan,vert,0,1,1,1,1,1,0,12036
Nissan,Qashqai,2020,44252,Essence,Manuelle,tres bon etat,break,133,1.4,3,0,local,Gafsa,noir,1,0,1,1,1,1,1,19776
Suzuki,Vitara,2018,112222,Essence,Automatique,tres bon etat,compacte,130,1.8,2,0,local,Sousse,blanc,0,1,0,0,0,0,1,8815
Ford,Fiesta,2014,65797,Diesel,Manuelle,excellent,berline,173,2.1,1,0,local,Gabes,noir,0,1,0,1,1,1,0,8505
Dacia,Sandero,2015,136175,Diesel,Manuelle,bon etat,compacte,130,1.5,1,0,local,Kairouan,argent,1,1,0,0,0,0,0,2427
Hyundai,Elantra,2006,276407,Diesel,Manuelle,tres bon etat,berline,131,1.8,3,0,local,Gafsa,rouge,1,1,0,1,0,1,1,2000
Nissan,Micra,2011,302991,Essence,Manuelle,tres bon etat,berline,116,1.6,2,0,local,Gabes,beige,0,1,0,0,0,0,1,2000
Volkswagen,Polo,2015,206441,Essence,Manuelle,tres bon etat,berline,128,1.7,2,0,imported,Ariana,blanc,0,1,0,1,1,1,0,7404
Fiat,500,2019,81892,Essence,Automatique,bon etat,monospace,129,1.3,4,0,local,Ben Arous,gris,1,1,1,1,0,0,0,9692
Ford,Kuga,2013,184826,Diesel,Automatique,bon etat,SUV,219,2.4,2,1,local,Sfax,gris,0,1,1,1,0,1,1,3064
Mercedes,GLA,2009,267199,Diesel,Manuelle,a reparer,break,144,1.7,1,0,imported,Sfax,bleu,0,0,0,1,0,1,0,4421
Fiat,Tipo,2005,268997,Essence,Automatique,moyen,citadine,60,0.9,4,0,local,Kairouan,beige,0,0,0,0,0,1,0,2000
Ford,Focus,2010,343184,Essence,Manuelle,bon etat,monospace,153,2.1,1,0,local,Tunis,argent,1,1,0,1,1,0,1,2000
Fiat,500,2011,195568,Essence,Manuelle,moyen,SUV,121,1.4,1,0,imported,Gafsa,argent,0,0,0,0,0,1,0,2000
Toyota,Avensis,2015,68915,Essence,Manuelle,excellent,citadine,82,1.1,2,0,local,Sfax,gris,0,0,1,0,1,1,0,10446
Mitsubishi,Outlander,2022,75145,Essence,Manuelle,moyen,SUV,205,2.7,4,0,imported,Kairouan,gris,0,0,1,1,1,0,1,14531
Opel,Corsa,2023,36489,Diesel,Manuelle,moyen,citadine,73,0.9,1,0,imported,Bizerte,bleu,0,1,1,0,1,0,1,16087
Chery,Arrizo,2020,112673,Diesel,Manuelle,tres bon etat,break,103,1.5,3,0,local,Gabes,gris,1,1,0,1,0,0,1,10690
Nissan,X-Trail,2012,286326,Essence,Manuelle,bon etat,SUV,134,2.0,2,0,local,Nabeul,argent,0,0,0,0,0,1,1,2000
Dacia,Duster,2013,321903,Essence,Automatique,tres bon etat,berline,135,1.4,2,0,local,Bizerte,vert,0,1,1,0,1,0,1,2000
Hyundai,Tucson,2006,297898,Hybride,Manuelle,a reparer,berline,160,2.1,1,1,local,Gabes,noir,0,0,0,0,0,0,1,2000
Chery,Arrizo,2018,119583,Essence,Manuelle,moyen,compacte,102,1.3,3,0,imported,Ben Arous,bleu,0,1,1,0,0,1,0,5691
Opel,Insignia,2023,21362,Essence,Manuelle,bon etat,break,153,1.9,2,0,local,Nabeul,beige,1,1,1,1,1,0,0,18362
Renault,Kangoo,2022,72555,Essence,Manuelle,moyen,compacte,92,1.2,1,0,local,Bizerte,noir,1,1,1,1,1,0,0,17376
Kia,Cerato,2008,299874,Essence,Manuelle,excellent,berline,142,1.7,1,0,local,Ben Arous,bleu,0,1,1,0,0,0,0,2000
Audi,Q3,2008,254814,Essence,Manuelle,bon etat,compacte,105,1.2,1,0,imported,Sfax,vert,0,0,1,1,0,1,1,6552
Dacia,Sandero,2011,293106,Diesel,Manuelle,tres bon etat,berline,117,1.8,1,0,local,Tunis,beige,1,0,1,1,0,1,0,2000
BMW,X1,2010,293557,Essence,Manuelle,tres bon etat,break,157,2.2,4,0,imported,Bizerte,rouge,0,1,0,0,0,1,0,5930
Nissan,Qashqai,2019,95334,Essence,Manuelle,bon etat,compacte,114,1.1,2,0,local,Nabeul,rouge,0,1,1,1,0,0,0,14084
BMW,116i,2016,141696,Hybride,Automatique,tres bon etat,break,105,1.5,3,0,local,Tunis,beige,0,0,0,0,0,0,0,25359
BMW,118i,2012,199096,Diesel,Manuelle,bon etat,break,102,1.0,1,0,imported,Sousse,noir,1,0,1,0,1,1,0,13384
Renault,Symbol,2022,63369,Diesel,Manuelle,tres bon etat,compacte,114,1.3,1,0,imported,Ben Arous,bleu,0,0,0,0,1,0,1,19712
Ford,Focus,2017,37295,Essence,Automatique,moyen,berline,123,1.5,1,1,local,Ben Arous,gris,1,0,1,1,1,0,0,7611
Fiat,Tipo,2006,288601,Hybride,Manuelle,moyen,citadine,71,0.9,1,0,local,Sfax,gris,0,0,1,0,1,1,0,2000
Dacia,Duster,2006,263709,Diesel,Automatique,a reparer,break,101,1.6,2,0,local,Bizerte,blanc,1,0,0,0,0,1,0,2000
Fiat,500,2018,71100,Essence,Manuelle,bon etat,berline,113,1.1,2,0,local,Nabeul,noir,0,0,1,0,0,0,0,7657
Dacia,Sandero,2022,58838,Essence,Automatique,bon etat,break,154,2.1,1,0,imported,Sfax,beige,0,0,1,0,0,0,0,10117
BMW,520d,2016,133538,Essence,Manuelle,excellent,SUV,182,1.9,1,0,imported,Ariana,gris,1,0,1,1,1,1,0,29840
Opel,Astra,2024,17441,Essence,Automatique,bon etat,break,101,1.3,1,0,local,Sousse,vert,1,0,1,0,1,1,1,23542
Kia,Cerato,2006,440760,Diesel,Automatique,tres bon etat,monospace,123,1.5,1,0,local,Gabes,beige,1,1,1,0,0,0,0,2000
Dacia,Sandero,2015,93475,Essence,Automatique,bon etat,monospace,104,0.9,2,0,local,Bizerte,rouge,0,0,0,1,0,1,1,4279
Suzuki,Swift,2007,222517,Diesel,Automatique,excellent,compacte,88,1.2,2,0,local,Gafsa,blanc,1,1,0,1,1,0,1,2000
Renault,Symbol,2021,42071,Essence,Manuelle,bon etat,citadine,74,1.0,1,0,local,Kairouan,argent,0,0,0,0,0,0,1,15105
Suzuki,Swift,2005,514513,Essence,Manuelle,moyen,citadine,80,1.2,3,0,imported,Sousse,gris,1,0,1,0,1,1,1,2000
Fiat,Punto,2019,95702,Essence,Automatique,tres bon etat,berline,131,1.4,2,0,local,Ariana,bleu,0,1,0,1,0,0,0,9053
Peugeot,207,2020,61987,Essence,Manuelle,tres bon etat,citadine,62,0.9,2,1,local,Gabes,beige,1,1,0,0,0,0,1,11073
Audi,A3,2024,13902,Essence,Manuelle,bon etat,monospace,141,1.6,2,0,local,Kairouan,rouge,1,1,1,1,0,0,0,57781
Nissan,X-Trail,2022,48723,Hybride,Manuelle,bon etat,SUV,197,2.2,1,0,local,Sfax,beige,1,1,0,0,1,1,0,21282
Nissan,Micra,2013,285908,Diesel,Manuelle,tres bon etat,compacte,105,1.2,1,0,imported,Gafsa,bleu,0,0,0,1,0,1,0,2000
Opel,Insignia,2006,185910,Essence,Manuelle,bon etat,citadine,83,1.2,1,0,local,Sfax,argent,0,0,0,0,1,1,1,2000
Ford,Fiesta,2016,81055,Diesel,Manuelle,moyen,SUV,174,2.1,2,0,local,Sfax,bleu,0,0,1,1,1,0,0,7581
Ford,Fiesta,2009,430752,Diesel,Manuelle,tres bon etat,SUV,134,1.9,1,0,imported,Sfax,noir,0,0,0,0,0,0,1,2000
Ford,Focus,2011,70646,Diesel,Manuelle,tres bon etat,citadine,78,1.0,1,0,local,Kairouan,bleu,1,1,0,1,0,0,0,5214
Kia,Cerato,2015,130131,Essence,Automatique,bon etat,monospace,100,1.2,3,0,imported,Ben Arous,rouge,0,0,0,0,0,0,1,4796
Audi,A3,2024,9386,Essence,Manuelle,bon etat,compacte,109,1.0,2,0,local,Nabeul,bleu,0,0,0,1,0,0,0,57451
Kia,Sportage,2005,270460,Essence,Automatique,moyen,break,155,1.7,3,0,local,Kairouan,blanc,1,1,1,0,1,0,1,2000
Fiat,Punto,2009,133346,Essence,Automatique,tres bon etat,berline,121,1.3,1,0,local,Sousse,gris,0,0,0,1,0,0,0,2000
Opel,Corsa,2006,354137,Essence,Manuelle,excellent,monospace,121,1.9,1,0,local,Bizerte,vert,0,0,1,0,0,1,0,2000
Nissan,Qashqai,2020,99792,Essence,Manuelle,tres bon etat,break,137,1.6,3,0,local,Tunis,gris,0,1,0,0,0,0,1,13845
Toyota,Rav4,2022,46496,Essence,Manuelle,tres bon etat,SUV,205,2.5,3,0,local,Gabes,vert,1,0,0,0,0,0,0,21947
Fiat,Punto,2021,43129,Diesel,Manuelle,tres bon etat,berline,159,1.6,1,0,local,Gafsa,beige,0,0,0,0,1,0,0,11050
Chery,Arrizo,2023,35623,Essence,Manuelle,bon etat,citadine,77,1.1,2,0,imported,Ariana,gris,1,1,0,1,0,0,0,14587
Fiat,Tipo,2023,19971,Essence,Manuelle,bon etat,compacte,88,1.2,2,1,imported,Kairouan,argent,1,0,1,0,1,0,0,11726
Chery,Arrizo,2024,21162,Essence,Automatique,excellent,citadine,90,1.0,2,0,local,Sfax,bleu,0,1,0,0,1,0,0,21424
Ford,Kuga,2023,33002,Essence,Manuelle,tres bon etat,SUV,130,1.5,3,0,imported,Nabeul,gris,0,0,1,1,0,0,0,20416
Nissan,X-Trail,2014,138487,Diesel,Manuelle,moyen,compacte,118,1.3,2,0,local,Bizerte,noir,1,0,1,0,1,1,0,5391
Opel,Astra,2019,127632,Diesel,Manuelle,bon etat,citadine,87,0.9,2,0,local,Sfax,argent,1,1,0,0,0,1,0,8441
Audi,A6,2020,69951,Diesel,Automatique,bon etat,compacte,130,1.7,1,0,imported,Ben Arous,argent,0,1,1,1,0,0,0,41534
Toyota,Rav4,2013,143945,Essence,Automatique,excellent,monospace,134,1.4,1,0,local,Gafsa,beige,0,0,0,0,1,0,1,7680
Mercedes,E200,2024,17599,Essence,Manuelle,tres bon etat,berline,172,2.6,2,0,local,Gafsa,blanc,0,0,0,0,0,0,0,68106
Audi,A3,2011,264787,Essence,Manuelle,excellent,berline,150,1.7,1,1,imported,Sfax,vert,1,1,0,1,0,0,0,8356
Nissan,X-Trail,2006,400897,Essence,Automatique,moyen,SUV,139,1.7,2,0,local,Gafsa,argent,0,1,0,1,0,1,0,2000
Mercedes,GLA,2023,18235,Essence,Automatique,tres bon etat,berline,128,1.6,3,0,local,Sfax,gris,1,1,0,1,0,0,0,62370
Renault,Megane,2018,16698,Diesel,Automatique,bon etat,break,101,1.2,4,0,imported,Nabeul,rouge,0,1,0,0,1,1,0,12076
Opel,Astra,2015,75714,Diesel,Automatique,excellent,monospace,134,1.2,1,0,local,Sfax,bleu,0,0,0,0,0,0,0,6619
Kia,Carens,2021,44204,Diesel,Manuelle,bon etat,monospace,148,1.8,1,0,local,Gafsa,gris,1,0,1,0,1,0,0,14352
Mercedes,C180,2019,87981,Essence,Manuelle,tres bon etat,monospace,145,1.7,1,0,local,Bizerte,gris,1,1,1,0,1,0,1,41523
Volkswagen,Golf 6,2006,338383,Essence,Manuelle,tres bon etat,compacte,104,1.2,1,0,local,Kairouan,noir,0,0,0,1,0,0,0,2000
Ford,Kuga,2024,21438,Essence,Manuelle,tres bon etat,compacte,86,1.3,3,0,local,Gabes,argent,0,0,0,0,0,1,1,21967
Dacia,Logan,2024,15613,Essence,Manuelle,bon etat,break,101,1.3,1,0,local,Kairouan,blanc,0,0,0,0,0,1,1,15146
Mercedes,C200,2022,34821,Essence,Manuelle,tres bon etat,monospace,134,2.0,1,0,local,Sousse,beige,1,0,0,0,0,0,1,54459
Renault,Captur,2016,118669,Essence,Automatique,a reparer,break,133,1.6,1,1,imported,Gabes,argent,0,0,0,1,1,0,0,4014
Dacia,Sandero,2014,229119,Hybride,Automatique,moyen,compacte,89,0.9,2,0,local,Gafsa,beige,0,0,0,0,1,0,1,2000
Nissan,Qashqai,2007,279230,Diesel,Manuelle,tres bon etat,compacte,130,1.6,1,0,local,Gafsa,gris,1,0,0,1,0,1,0,2000
Fiat,Punto,2023,42317,Diesel,Automatique,bon etat,citadine,88,1.2,1,1,local,Kairouan,noir,0,0,0,0,0,0,0,10636
BMW,116i,2014,193923,Diesel,Manuelle,moyen,compacte,126,1.7,1,0,local,Sfax,argent,1,0,1,0,0,0,1,14782
Nissan,Qashqai,2008,208420,Diesel,Manuelle,tres bon etat,berline,126,1.7,2,0,imported,Sfax,bleu,0,1,0,1,0,1,1,2000
Dacia,Logan,2013,278400,Essence,Manuelle,bon etat,berline,156,1.9,2,0,local,Sousse,blanc,1,1,0,0,1,0,1,2000
BMW,520d,2017,59181,Diesel,Manuelle,bon etat,SUV,152,1.7,2,0,local,Sfax,blanc,1,1,0,1,1,0,0,29822
Fiat,Punto,2021,95601,Diesel,Manuelle,bon etat,break,134,1.6,3,0,local,Ben Arous,argent,1,1,0,1,0,0,1,10374
BMW,116i,2023,29803,Essence,Manuelle,bon etat,SUV,212,2.6,1,1,imported,Gabes,blanc,0,1,1,1,0,1,0,43715
Chery,Tiggo,2018,91899,Diesel,Manuelle,excellent,berline,124,1.6,2,0,imported,Bizerte,gris,1,1,1,0,0,0,0,9706
Volkswagen,Polo,2014,153966,Hybride,Manuelle,bon etat,break,102,1.2,2,0,local,Kairouan,blanc,1,0,0,1,1,0,1,8078
Opel,Astra,2008,110608,Essence,Manuelle,tres bon etat,monospace,125,1.2,1,0,imported,Sfax,bleu,1,1,0,1,0,0,0,2359
Dacia,Duster,2018,107202,Diesel,Manuelle,bon etat,berline,162,2.1,1,0,imported,Nabeul,bleu,0,1,1,0,1,0,1,7500
Toyota,Hiace,2010,366801,Hybride,Manuelle,tres bon etat,compacte,108,1.5,1,1,imported,Gabes,blanc,1,0,0,1,1,1,0,2000
BMW,118i,2014,205818,Essence,Manuelle,excellent,berline,147,2.0,3,0,local,Kairouan,beige,0,0,1,0,1,1,0,19100
Fiat,Punto,2017,127964,Diesel,Manuelle,tres bon etat,citadine,77,0.9,3,0,local,Nabeul,rouge,1,0,1,0,0,1,1,5962
Kia,Sportage,2005,354835,Essence,Manuelle,tres bon etat,SUV,132,1.5,1,0,local,Sousse,beige,0,1,1,0,0,1,1,2000
Mitsubishi,Outlander,2013,118889,Diesel,Manuelle,bon etat,monospace,140,1.6,2,0,local,Bizerte,gris,0,1,0,0,0,1,0,3827
BMW,320i,2022,58190,Essence,Manuelle,tres bon etat,SUV,219,3.0,2,0,local,Bizerte,gris,0,0,1,1,0,1,0,48259
Nissan,Qashqai,2023,36703,Essence,Automatique,moyen,break,159,2.0,3,0,local,Ben Arous,blanc,0,0,1,0,1,1,1,19815
Volkswagen,Passat,2024,18459,Diesel,Manuelle,bon etat,monospace,151,1.8,1,0,imported,Tunis,gris,1,0,1,0,1,1,0,29210
Nissan,Micra,2011,224129,Essence,Manuelle,bon etat,berline,134,1.7,1,0,local,Gafsa,blanc,0,0,1,1,1,0,1,2000
Hyundai,Tucson,2021,55312,Diesel,Manuelle,bon etat,break,121,1.8,1,1,imported,Nabeul,vert,1,1,1,0,0,1,0,15262
Mercedes,E200,2018,120911,Essence,Manuelle,bon etat,SUV,151,1.8,1,0,local,Kairouan,noir,0,1,1,0,0,1,1,30842
Fiat,Tipo,2013,106288,Diesel,Manuelle,bon etat,monospace,148,2.0,3,0,local,Gabes,argent,1,0,0,1,1,1,0,4086
